,age,ast,blk,date_game,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,player,pos,pts,stl,team_id,tov,trb
6974,30-243,6,0,2017-02-01,2,4,3,.375,8,1,.200,5,.308,13,2,1.000,2,,W,7.8,1,32,TOR,1,3,Al Horford,C-F,11,1,BOS,1,3
6975,30-245,8,1,2017-02-03,6,4,3,.429,7,1,.250,4,.364,11,2,.500,4,,W,10.8,1,31,LAL,2,2,Al Horford,C-F,11,0,BOS,2,8
6976,30-255,4,0,2017-02-13,4,5,4,.400,10,1,.500,2,.417,12,0,,0,@,W,7.9,1,32,DAL,1,1,Al Horford,C-F,11,1,BOS,2,5
6977,30-324,2,3,2016-10-27,12,4,4,.444,9,0,,0,.444,9,3,.750,4,,W,15.1,1,30,WAS,7,2,Dwight Howard,C,11,1,ATL,3,19
6978,30-343,1,0,2016-11-15,9,5,5,.556,9,0,,0,.556,9,1,.333,3,@,W,7.5,1,25,MIA,2,3,Dwight Howard,C,11,3,ATL,5,11
6979,31-036,0,1,2017-01-13,6,4,4,1.000,4,0,,0,1.000,4,3,1.000,3,,L,10.9,1,24,BOS,2,2,Dwight Howard,C,11,1,ATL,3,8
6980,31-043,0,0,2017-01-20,5,3,3,.273,11,0,,0,.273,11,5,.625,8,,W,5.3,1,25,CHI,1,3,Dwight Howard,C,11,2,ATL,1,6
6981,31-058,3,0,2017-02-04,9,5,5,.833,6,0,,0,.833,6,1,.333,3,,W,14.2,1,24,ORL,4,1,Dwight Howard,C,11,1,ATL,2,13
6982,31-062,1,0,2017-02-08,8,5,5,.556,9,0,,0,.556,9,1,.500,2,,W,10.7,1,25,DEN,5,3,Dwight Howard,C,11,0,ATL,1,13
6983,31-069,0,0,2017-02-15,10,5,5,.714,7,0,.000,1,.625,8,1,.250,4,@,L,11.3,1,24,LAC,5,1,Dwight Howard,C,11,0,ATL,1,15
6984,31-270,1,0,2016-11-02,0,3,2,.500,4,1,.500,2,.500,6,4,1.000,4,,L,6.2,0,14,LAL,1,3,Kris Humphries,F-C,11,0,ATL,2,1
6985,27-048,0,0,2016-11-05,5,5,4,.364,11,1,.500,2,.385,13,0,,0,,W,6.0,1,21,WAS,2,2,Serge Ibaka,F-C,11,0,ORL,0,7
6986,27-052,0,2,2016-11-09,1,4,3,.429,7,1,1.000,1,.500,8,2,.667,3,,L,7.4,1,27,MIN,1,4,Serge Ibaka,F-C,11,0,ORL,0,2
6987,27-074,0,3,2016-12-01,6,4,4,.667,6,0,.000,4,.400,10,3,.750,4,@,L,9.3,1,32,MEM,2,3,Serge Ibaka,F-C,11,0,ORL,0,8
6988,27-122,2,5,2017-01-18,6,5,4,.667,6,1,.250,4,.500,10,0,,0,@,L,13.4,1,25,NOP,1,0,Serge Ibaka,F-C,11,0,ORL,0,7
6989,32-278,5,0,2016-11-01,5,4,3,.500,6,1,1.000,1,.571,7,2,.667,3,@,W,10.9,0,24,POR,0,1,Andre Iguodala,G-F,11,0,GSW,1,5
6990,32-335,2,0,2016-12-28,2,5,5,1.000,5,0,,0,1.000,5,1,.500,2,,W,11.8,0,30,TOR,1,0,Andre Iguodala,G-F,11,1,GSW,1,3
6991,29-186,3,0,2016-11-17,3,5,4,.500,8,1,.250,4,.417,12,0,,0,@,L,5.2,1,21,MIN,0,1,Ersan Ilyasova,F,11,0,PHI,2,3
6992,29-188,1,0,2016-11-19,2,5,4,.800,5,1,.250,4,.556,9,0,,0,,W,8.2,1,24,PHO,0,2,Ersan Ilyasova,F,11,1,PHI,0,2
6994,29-197,3,0,2016-11-28,6,4,3,.600,5,1,.333,3,.500,8,2,1.000,2,@,L,9.5,1,23,TOR,0,1,Ersan Ilyasova,F,11,0,PHI,1,6
6995,29-269,3,0,2017-02-08,2,4,2,.400,5,2,.333,6,.364,11,1,.333,3,,L,6.6,1,28,SAS,0,3,Ersan Ilyasova,F,11,1,PHI,0,2
6996,29-069,4,0,2016-12-10,6,4,1,1.000,1,3,.750,4,.800,5,0,,0,,W,10.9,1,38,SAC,0,2,Joe Ingles,F-G,11,1,UTA,3,6
6997,29-073,3,0,2016-12-14,4,4,1,.500,2,3,1.000,3,.800,5,0,,0,,W,11.2,0,21,OKC,0,3,Joe Ingles,F-G,11,0,UTA,0,4
6998,29-079,3,0,2016-12-20,4,4,1,.167,6,3,.429,7,.308,13,0,,0,@,L,5.9,0,27,GSW,1,4,Joe Ingles,F-G,11,2,UTA,2,5
6999,29-106,5,0,2017-01-16,2,4,1,.500,2,3,.750,4,.667,6,0,,0,@,W,13.1,1,34,PHO,0,1,Joe Ingles,F-G,11,2,UTA,1,2
7000,19-081,3,0,2016-11-22,2,4,1,.333,3,3,1.000,3,.667,6,0,,0,,W,6.7,0,25,OKC,0,1,Brandon Ingram,F,11,0,LAL,4,2
7001,19-125,1,1,2017-01-05,3,3,1,.500,2,2,.500,4,.500,6,3,.750,4,@,L,7.0,1,37,POR,1,4,Brandon Ingram,F,11,0,LAL,2,4
7002,19-130,2,1,2017-01-10,4,3,1,.250,4,2,1.000,2,.500,6,3,.500,6,,L,9.1,0,26,POR,0,0,Brandon Ingram,F,11,0,LAL,1,4
7003,24-262,5,0,2016-12-10,3,4,2,.200,10,2,.667,3,.308,13,1,1.000,1,,W,4.4,1,36,CHO,1,3,Kyrie Irving,G,11,0,CLE,3,4
7004,24-294,1,0,2017-01-11,0,4,3,.214,14,1,.500,2,.250,16,2,1.000,2,@,L,2.4,1,32,POR,3,2,Kyrie Irving,G,11,2,CLE,3,3
7005,31-357,3,0,2016-12-26,3,5,5,.556,9,0,,0,.556,9,1,1.000,1,@,L,8.5,0,20,CHI,2,4,Al Jefferson,C-F,11,0,IND,1,5
7006,32-030,0,0,2017-02-03,3,4,4,.444,9,0,,0,.444,9,3,.750,4,@,W,7.4,0,15,BRK,2,2,Al Jefferson,C-F,11,0,IND,0,5
7007,36-191,1,0,2016-12-29,3,2,2,1.000,2,0,,0,1.000,2,7,.778,9,,W,10.4,0,19,BOS,0,2,Richard Jefferson,F,11,0,CLE,0,3
7008,36-209,1,0,2017-01-16,2,3,1,.333,3,2,.400,5,.375,8,3,.600,5,@,L,5.9,0,20,GSW,0,3,Richard Jefferson,F,11,1,CLE,1,2
7009,36-223,0,1,2017-01-30,2,4,1,.500,2,3,1.000,3,.800,5,0,,0,@,L,9.9,1,25,DAL,1,3,Richard Jefferson,F,11,0,CLE,0,3
7010,27-117,5,1,2017-01-18,3,3,1,.500,2,2,.400,5,.429,7,3,.750,4,@,W,11.3,0,27,BOS,1,1,Brandon Jennings,G,11,0,NYK,1,4
7011,29-192,1,1,2016-11-09,2,5,4,1.000,4,1,1.000,1,1.000,5,0,,0,@,L,10.6,1,24,WAS,1,4,Amir Johnson,F,11,1,BOS,1,3
7012,29-213,1,1,2016-11-30,2,4,4,.667,6,0,.000,1,.571,7,3,1.000,3,,L,11.6,1,15,DET,3,3,Amir Johnson,F,11,1,BOS,0,5
7013,29-220,1,0,2016-12-07,3,5,5,.714,7,0,,0,.714,7,1,1.000,1,@,W,8.9,1,23,ORL,2,3,Amir Johnson,F,11,0,BOS,1,5
7015,29-235,1,0,2016-12-22,5,5,4,.800,5,1,.500,2,.714,7,0,.000,2,@,W,9.0,1,24,IND,1,3,Amir Johnson,F,11,1,BOS,1,6
7016,29-272,2,1,2017-01-28,6,5,4,.667,6,1,1.000,1,.714,7,0,.000,1,@,W,11.1,1,25,MIL,1,3,Amir Johnson,F,11,0,BOS,0,7
7017,29-249,6,0,2016-10-26,2,4,2,.500,4,2,.500,4,.500,8,1,1.000,1,@,W,10.4,0,25,ORL,0,1,James Johnson,F,11,0,MIA,1,2
7018,29-258,2,1,2016-11-04,2,4,3,.600,5,1,.333,3,.500,8,2,1.000,2,@,L,7.8,0,19,TOR,1,4,James Johnson,F,11,0,MIA,1,3
7019,29-307,2,1,2016-12-23,8,4,3,.300,10,1,.500,2,.333,12,2,1.000,2,@,L,7.3,0,22,NOP,2,2,James Johnson,F,11,0,MIA,2,10
7020,29-352,5,1,2017-02-06,4,5,4,.571,7,1,.500,2,.556,9,0,.000,2,@,W,3.7,0,29,MIN,0,4,James Johnson,F,11,0,MIA,6,4
7021,35-121,2,0,2016-10-28,5,4,3,.429,7,1,.250,4,.364,11,2,1.000,2,,W,7.8,1,32,LAL,2,1,Joe Johnson,G-F,11,0,UTA,1,7
7022,35-153,3,0,2016-11-29,3,4,1,.500,2,3,.600,5,.571,7,0,,0,,W,9.3,0,26,HOU,0,1,Joe Johnson,G-F,11,0,UTA,1,3
7023,20-162,3,0,2016-11-07,3,4,2,.500,4,2,.667,3,.571,7,1,.500,2,@,L,11.6,0,25,LAC,1,1,Stanley Johnson,F,11,1,DET,0,4
7024,20-259,0,0,2017-02-12,2,4,1,.250,4,3,.600,5,.444,9,0,,0,@,W,7.5,0,24,TOR,0,1,Stanley Johnson,F,11,1,DET,0,2
7025,24-191,6,0,2016-11-14,8,4,4,.444,9,0,,0,.444,9,3,.500,6,@,L,12.7,0,33,SAS,0,0,Tyler Johnson,G,11,1,MIA,0,8
7026,24-219,3,0,2016-12-12,3,5,4,.500,8,1,.500,2,.500,10,0,,0,,W,6.8,0,30,WAS,0,3,Tyler Johnson,G,11,1,MIA,2,3
7027,24-230,1,0,2016-12-23,3,5,4,.364,11,1,.500,2,.385,13,0,,0,@,L,4.9,0,30,NOP,0,4,Tyler Johnson,G,11,1,MIA,0,3
7028,24-239,5,2,2017-01-01,1,3,2,.250,8,1,.500,2,.300,10,4,.800,5,,L,9.2,0,29,DET,0,2,Tyler Johnson,G,11,1,MIA,1,1
7029,24-244,2,1,2017-01-06,4,4,4,.444,9,0,.000,4,.308,13,3,.750,4,@,L,5.5,0,35,LAL,1,4,Tyler Johnson,G,11,1,MIA,1,5
7030,24-270,5,2,2017-02-01,2,4,3,.500,6,1,.200,5,.364,11,2,1.000,2,,W,10.1,0,32,ATL,1,5,Tyler Johnson,G,11,2,MIA,1,3
7031,29-219,0,1,2017-02-15,4,4,1,.333,3,3,.600,5,.500,8,0,,0,,W,11.5,0,19,ATL,0,1,Wesley Johnson,F-G,11,4,LAC,1,4
7032,21-351,2,0,2017-02-04,0,5,4,.571,7,1,.500,2,.556,9,0,,0,@,L,2.6,1,15,SAS,1,3,Nikola Jokic,C-F,11,0,DEN,5,1
7033,24-321,2,0,2016-11-25,3,4,2,.333,6,2,.500,4,.400,10,1,.500,2,@,L,6.5,0,30,POR,0,0,Terrence Jones,F,11,0,NOP,1,3
7034,25-000,0,2,2017-01-09,2,4,4,.667,6,0,,0,.667,6,3,.750,4,@,W,11.7,0,14,NYK,1,0,Terrence Jones,F,11,1,NOP,0,3
7036,25-023,0,0,2017-02-01,3,5,5,.556,9,0,,0,.556,9,1,1.000,1,@,L,5.8,1,27,DET,0,2,Terrence Jones,F,11,0,NOP,1,3
7037,28-154,2,2,2016-12-22,7,4,4,.667,6,0,,0,.667,6,3,.750,4,,W,11.5,1,26,SAS,2,2,DeAndre Jordan,C,11,0,LAC,2,9
7038,25-122,4,0,2016-12-20,6,4,3,.300,10,1,1.000,1,.364,11,2,.667,3,,W,6.8,0,26,BRK,1,0,Cory Joseph,G,11,0,TOR,3,7
7039,25-136,3,0,2017-01-03,3,3,2,.222,9,1,.500,2,.273,11,4,.800,5,@,L,7.1,0,24,SAS,0,0,Cory Joseph,G,11,1,TOR,1,3
7040,23-208,3,0,2016-10-29,3,4,3,.500,6,1,.500,2,.500,8,2,1.000,2,,L,8.9,0,24,BOS,1,2,Frank Kaminsky,F-C,11,0,CHO,1,4
7041,23-217,2,1,2016-11-07,2,5,5,.625,8,0,.000,6,.357,14,1,.500,2,,W,1.1,0,30,IND,0,1,Frank Kaminsky,F-C,11,0,CHO,4,2
7042,23-260,0,0,2016-12-20,3,4,3,.750,4,1,.500,2,.667,6,2,.500,4,,W,8.7,0,18,LAL,0,2,Frank Kaminsky,F-C,11,1,CHO,0,3
7043,23-289,2,0,2017-01-18,3,4,1,.250,4,3,.500,6,.400,10,0,,0,,W,7.7,0,24,POR,0,3,Frank Kaminsky,F-C,11,2,CHO,1,3
7044,24-189,1,0,2016-11-25,1,5,5,.714,7,0,.000,2,.556,9,1,1.000,1,@,W,9.6,0,19,DEN,1,2,Enes Kanter,C,11,2,OKC,0,2
7045,23-048,2,1,2016-11-13,8,4,4,.308,13,0,,0,.308,13,3,1.000,3,@,L,8.4,1,41,CLE,2,5,Michael Kidd-Gilchrist,F,11,1,CHO,0,10
7046,23-056,4,0,2016-11-21,5,4,4,.571,7,0,,0,.571,7,3,.429,7,,L,10.7,1,32,MEM,5,3,Michael Kidd-Gilchrist,F,11,0,CHO,2,10
7047,23-061,0,1,2016-11-26,8,4,4,.667,6,0,,0,.667,6,3,.750,4,,W,7.7,1,35,NYK,0,1,Michael Kidd-Gilchrist,F,11,0,CHO,3,8
7048,23-070,1,1,2016-12-05,8,5,5,.455,11,0,,0,.455,11,1,1.000,1,@,W,10.7,1,28,DAL,4,3,Michael Kidd-Gilchrist,F,11,0,CHO,0,12
7049,23-079,0,1,2016-12-14,3,5,5,.714,7,0,,0,.714,7,1,.500,2,@,L,7.5,1,26,WAS,0,2,Michael Kidd-Gilchrist,F,11,1,CHO,2,3
7050,24-342,6,0,2016-11-08,4,5,4,.571,7,1,.333,3,.500,10,0,,0,@,L,6.6,0,19,POR,0,2,Brandon Knight,G,11,1,PHO,5,4
7051,24-361,0,0,2016-11-27,1,2,2,.200,10,0,,0,.200,10,7,.700,10,,L,0.8,0,17,DEN,1,2,Brandon Knight,G,11,0,PHO,3,2
7052,25-013,2,0,2016-12-15,1,2,2,.333,6,0,.000,1,.286,7,7,.875,8,,L,9.4,0,22,SAS,0,2,Brandon Knight,G,11,3,PHO,1,1
7053,25-050,2,0,2017-01-21,4,5,4,.500,8,1,.250,4,.417,12,0,,0,@,W,7.1,0,20,NYK,1,2,Brandon Knight,G,11,1,PHO,1,5
7054,25-073,2,0,2017-02-13,2,4,3,.429,7,1,1.000,1,.500,8,2,.667,3,,L,6.8,0,18,NOP,0,2,Brandon Knight,G,11,0,PHO,1,2
7055,25-075,4,1,2017-02-15,2,5,4,.667,6,1,.250,4,.500,10,0,,0,,W,9.3,0,21,LAL,0,2,Brandon Knight,G,11,0,PHO,0,2
7057,35-237,2,0,2016-11-09,2,4,2,.667,3,2,1.000,2,.800,5,1,1.000,1,,W,6.1,1,26,CHI,0,5,Kyle Korver,G-F,11,0,ATL,3,2
7058,35-244,5,2,2016-11-16,6,3,1,.500,2,2,.286,7,.333,9,3,1.000,3,,W,12.8,1,27,MIL,0,2,Kyle Korver,G-F,11,1,ATL,0,6
7059,35-305,0,0,2017-01-16,2,4,1,.500,2,3,.375,8,.400,10,0,,0,@,L,5.4,0,27,GSW,0,2,Kyle Korver,G-F,11,0,CLE,0,2
7060,35-324,1,0,2017-02-04,4,3,1,.250,4,2,.400,5,.333,9,3,1.000,3,@,W,7.4,0,31,NYK,0,1,Kyle Korver,G-F,11,0,CLE,0,4
7061,27-329,0,0,2017-01-18,3,5,5,.625,8,0,,0,.625,8,1,.500,2,,L,7.6,1,24,IND,1,0,Kosta Koufos,C,11,1,SAC,2,4
7062,24-225,4,0,2017-01-10,5,4,3,.375,8,1,.333,3,.364,11,2,1.000,2,@,L,9.0,1,28,HOU,0,3,Jeremy Lamb,G-F,11,1,CHO,0,5
7063,26-279,5,0,2016-11-05,1,4,1,1.000,1,3,.750,4,.800,5,0,,0,,L,11.2,0,22,LAC,1,1,Nicolas Laprovittola,G,11,0,SAS,2,2
7064,21-252,1,1,2016-11-17,0,5,4,.571,7,1,.143,7,.357,14,0,,0,,W,4.3,1,39,PHI,1,0,Zach LaVine,G,11,1,MIN,2,1
7065,21-256,4,1,2016-11-21,3,4,4,.800,5,0,.000,7,.333,12,3,1.000,3,,L,6.8,1,38,BOS,0,2,Zach LaVine,G,11,1,MIN,2,3
7066,21-311,1,0,2017-01-15,5,3,0,.000,4,3,.750,4,.375,8,2,1.000,2,@,L,8.4,1,34,DAL,0,1,Zach LaVine,G,11,1,MIN,1,5
7067,21-320,4,0,2017-01-24,1,5,4,.800,5,1,.250,4,.556,9,0,.000,2,@,W,8.2,1,34,PHO,0,2,Zach LaVine,G,11,2,MIN,2,1
7068,21-326,0,0,2017-01-30,3,3,2,.667,3,1,.167,6,.333,9,4,.800,5,,W,5.8,1,43,ORL,0,4,Zach LaVine,G,11,1,MIN,0,3
7069,29-000,5,0,2016-11-03,4,5,4,.571,7,1,.500,2,.556,9,0,.000,2,@,L,10.3,1,35,ORL,3,1,Ty Lawson,G,11,0,SAC,2,7
7070,29-007,1,0,2016-11-10,1,4,2,.667,3,2,.667,3,.667,6,1,.500,2,,L,6.4,1,25,LAL,0,4,Ty Lawson,G,11,2,SAC,3,1
7071,31-083,0,1,2016-12-25,2,4,2,.667,3,2,.333,6,.444,9,1,.500,2,,L,6.7,1,34,BOS,1,3,Courtney Lee,G,11,0,NYK,0,3
7072,31-093,3,1,2017-01-04,1,4,1,.250,4,3,.600,5,.444,9,0,,0,,L,10.7,1,38,MIL,1,1,Courtney Lee,G,11,1,NYK,0,2
7073,31-095,3,1,2017-01-06,1,3,1,.500,2,2,.667,3,.600,5,3,.750,4,@,W,12.1,1,35,MIL,1,0,Courtney Lee,G,11,1,NYK,1,2
7074,33-270,2,0,2017-01-24,5,4,4,.571,7,0,,0,.571,7,3,.750,4,@,W,7.4,1,21,TOR,0,2,David Lee,F,11,0,SAS,2,5
7075,33-287,2,0,2017-02-10,4,5,5,.500,10,0,,0,.500,10,1,1.000,1,@,W,9.9,0,20,DET,3,2,David Lee,F,11,0,SAS,0,7
7076,23-158,3,3,2016-11-21,7,3,3,.600,5,0,,0,.600,5,5,.833,6,@,L,12.1,1,31,WAS,3,4,Alex Len,C,11,0,PHO,3,10
7078,23-222,0,0,2017-01-24,5,4,4,.800,5,0,,0,.800,5,3,1.000,3,,L,10.7,0,24,MIN,5,1,Alex Len,C,11,0,PHO,3,10
7079,23-237,0,2,2017-02-08,4,5,4,.571,7,1,1.000,1,.625,8,0,,0,@,L,7.7,0,28,MEM,1,5,Alex Len,C,11,1,PHO,2,5
7080,24-258,1,0,2016-11-11,4,4,3,.600,5,1,.250,4,.444,9,2,1.000,2,,W,7.6,1,29,SAC,0,4,Meyers Leonard,C-F,11,1,POR,0,4
7081,24-260,2,0,2016-11-13,4,4,3,1.000,3,1,.167,6,.444,9,2,1.000,2,,W,5.9,1,25,DEN,0,5,Meyers Leonard,C-F,11,0,POR,1,4
7082,27-172,0,1,2016-11-02,5,5,4,.800,5,1,.333,3,.625,8,0,,0,@,L,9.2,0,27,BRK,2,2,Jon Leuer,F,11,0,DET,1,7
7083,27-179,1,0,2016-11-09,7,3,1,.250,4,2,.500,4,.375,8,3,1.000,3,@,L,9.6,0,24,PHO,2,3,Jon Leuer,F,11,0,DET,0,9
7084,27-193,1,1,2016-11-23,3,4,2,1.000,2,2,.500,4,.667,6,1,1.000,1,,W,8.2,0,27,MIA,1,3,Jon Leuer,F,11,0,DET,2,4
7085,27-195,4,0,2016-11-25,9,5,4,.500,8,1,.250,4,.417,12,0,,0,,W,10.3,0,33,LAC,2,3,Jon Leuer,F,11,1,DET,1,11
7086,22-138,2,0,2017-01-10,2,4,3,.600,5,1,.250,4,.444,9,2,.667,3,,L,6.2,0,23,ATL,1,1,Caris LeVert,G-F,11,0,BRK,2,3
7087,22-156,1,1,2017-01-28,4,4,3,.500,6,1,.500,2,.500,8,2,.667,3,@,L,9.0,0,27,MIN,0,3,Caris LeVert,G-F,11,2,BRK,1,4
7088,31-054,4,0,2016-11-04,0,5,5,1.000,5,0,,0,1.000,5,1,1.000,1,@,L,11.6,0,20,LAL,1,1,Shaun Livingston,G,11,0,GSW,1,1
7089,20-272,0,0,2016-11-04,3,5,5,1.000,5,0,,0,1.000,5,1,.500,2,@,L,10.0,0,13,LAL,2,1,Kevon Looney,F-C,11,0,GSW,1,5
7090,28-225,2,5,2016-11-12,5,3,2,.333,6,1,.200,5,.273,11,4,1.000,4,@,W,7.7,1,28,PHO,0,3,Brook Lopez,C,11,1,BRK,3,5
7091,28-273,6,0,2016-12-30,4,3,2,.500,4,1,.200,5,.333,9,4,1.000,4,@,L,8.2,1,31,WAS,1,2,Brook Lopez,C,11,1,BRK,4,5
7092,21-012,0,0,2016-11-17,3,4,4,.500,8,0,.000,3,.364,11,3,1.000,3,,L,7.1,0,21,CHI,3,2,Trey Lyles,F,11,1,UTA,1,6
7093,21-045,1,0,2016-12-20,0,2,0,.000,6,2,.500,4,.200,10,5,.833,6,@,L,5.2,0,24,GSW,3,0,Trey Lyles,F,11,1,UTA,3,3
7094,21-054,1,1,2016-12-29,1,4,1,.500,2,3,.600,5,.571,7,0,,0,,W,11.1,0,19,PHI,1,0,Trey Lyles,F,11,2,UTA,1,2
7095,21-064,1,0,2017-01-08,1,3,0,.000,1,3,1.000,3,.750,4,2,.667,3,@,L,10.9,0,12,MEM,1,2,Trey Lyles,F,11,1,UTA,0,2
7096,26-223,5,0,2016-12-01,5,4,3,.429,7,1,.500,2,.444,9,2,.500,4,,L,8.7,0,33,MIA,0,2,Shelvin Mack,G,11,1,UTA,2,5
7097,26-238,3,0,2016-12-16,2,4,4,.800,5,0,.000,2,.571,7,3,.750,4,,W,10.7,0,29,DAL,1,0,Shelvin Mack,G,11,1,UTA,1,3
7099,22-188,0,0,2016-11-28,10,5,4,.333,12,1,1.000,1,.385,13,0,.000,2,,L,5.3,0,20,CHO,2,3,Jarell Martin,F,11,0,MEM,1,12
7100,30-095,2,0,2017-01-17,4,4,1,.200,5,3,.600,5,.400,10,0,,0,@,W,6.0,1,40,CHI,0,3,Wesley Matthews,G,11,0,DAL,1,4
7101,30-098,3,0,2017-01-20,7,4,3,.500,6,1,.250,4,.400,10,2,1.000,2,,L,8.9,1,39,UTA,1,4,Wesley Matthews,G,11,2,DAL,2,8
7102,30-066,0,0,2016-11-14,2,5,5,1.000,5,0,,0,1.000,5,1,1.000,1,,W,10.3,1,24,BRK,0,2,Luc Mbah a Moute,F,11,1,LAC,0,2
7103,24-316,4,0,2017-02-04,2,5,5,.833,6,0,,0,.833,6,1,1.000,1,@,L,7.0,1,28,MIA,0,3,T.J. McConnell,G,11,0,PHI,4,2
7104,24-323,10,0,2017-02-11,3,3,3,.429,7,0,,0,.429,7,5,.833,6,,W,16.5,1,32,MIA,1,0,T.J. McConnell,G,11,2,PHI,1,4
7105,23-260,0,0,2016-10-26,0,5,4,1.000,4,1,1.000,1,1.000,5,0,,0,@,L,9.8,0,12,LAL,1,1,K.J. McDaniels,G-F,11,0,HOU,0,1
7106,24-309,1,0,2016-11-07,4,5,5,.833,6,0,.000,2,.625,8,1,1.000,1,,W,9.3,0,25,ORL,0,0,Doug McDermott,F,11,0,CHI,0,4
7107,24-365,1,0,2017-01-02,1,5,5,.556,9,0,.000,3,.417,12,1,1.000,1,,W,3.8,1,30,CHO,0,2,Doug McDermott,F,11,0,CHI,1,1
7108,25-029,0,0,2017-02-01,1,4,3,.750,4,1,.333,3,.571,7,2,1.000,2,@,W,6.6,0,14,OKC,0,1,Doug McDermott,F,11,0,CHI,1,1
7109,25-038,0,0,2017-02-10,1,4,3,1.000,3,1,.333,3,.667,6,2,1.000,2,@,L,8.3,0,20,PHO,0,1,Doug McDermott,F,11,0,CHI,0,1
7110,25-044,0,0,2017-02-16,2,4,3,.500,6,1,.167,6,.333,12,2,1.000,2,,W,5.8,0,30,BOS,0,0,Doug McDermott,F,11,1,CHI,0,2
7111,28-319,0,0,2016-12-03,0,4,4,.667,6,0,,0,.667,6,3,.500,6,,W,6.4,0,13,PHO,2,3,JaVale McGee,C,11,0,GSW,1,2
7112,28-333,0,1,2016-12-17,5,5,5,1.000,5,0,,0,1.000,5,1,.333,3,,W,10.1,0,11,POR,0,2,JaVale McGee,C,11,1,GSW,1,5
7113,29-014,0,1,2017-02-02,4,5,5,.833,6,0,,0,.833,6,1,.500,2,@,W,11.5,1,15,LAC,4,4,JaVale McGee,C,11,1,GSW,1,8
7114,25-120,2,1,2016-11-26,2,5,4,.667,6,1,.250,4,.500,10,0,,0,,L,8.3,1,34,MEM,2,2,Rodney McGruder,G,11,0,MIA,1,4
7115,25-122,0,0,2016-11-28,3,4,3,.750,4,1,.333,3,.571,7,2,1.000,2,,L,3.4,1,38,BOS,2,4,Rodney McGruder,G,11,1,MIA,6,5
7116,25-131,5,1,2016-12-07,2,3,1,.333,3,2,.400,5,.375,8,3,.600,5,@,L,13.3,1,31,ATL,3,1,Rodney McGruder,G,11,2,MIA,1,5
7117,25-196,3,0,2017-02-10,5,5,4,.444,9,1,.333,3,.417,12,0,,0,@,W,11.5,1,35,BRK,1,1,Rodney McGruder,G,11,4,MIA,1,6
7118,25-199,1,0,2017-02-13,2,5,4,.667,6,1,.250,4,.500,10,0,,0,,L,6.2,1,22,ORL,1,2,Rodney McGruder,G,11,0,MIA,1,3
7120,25-201,2,0,2017-02-15,0,4,1,.500,2,3,.500,6,.500,8,0,,0,@,W,10.3,1,27,HOU,1,2,Rodney McGruder,G,11,2,MIA,0,1
7121,23-266,1,0,2016-11-03,3,5,4,.800,5,1,.500,2,.714,7,0,,0,@,L,7.4,0,28,ORL,1,5,Ben McLemore,G,11,1,SAC,2,4
7122,24-001,1,1,2017-02-12,0,4,1,.500,2,3,.600,5,.571,7,0,,0,,W,8.3,1,28,NOP,2,3,Ben McLemore,G,11,1,SAC,2,2
7123,25-308,0,0,2017-01-30,2,5,4,.667,6,1,.333,3,.556,9,0,,0,@,L,5.1,0,30,DAL,0,3,Jordan McRae,G,11,0,CLE,1,2
7124,29-292,2,1,2016-12-16,0,4,1,.200,5,3,.600,5,.400,10,0,,0,,L,6.3,1,17,LAC,0,1,Josh McRoberts,F,11,0,MIA,1,0
7125,29-129,1,0,2016-12-28,1,5,4,.800,5,1,.250,4,.556,9,0,,0,,L,7.7,1,22,CHO,0,0,Jodie Meeks,G,11,2,ORL,2,1
7126,29-133,2,0,2017-01-01,3,3,0,.000,1,3,.375,8,.333,9,2,1.000,2,@,L,6.8,1,30,IND,0,1,Jodie Meeks,G,11,0,ORL,1,3
7127,29-148,4,0,2017-01-16,3,4,3,.500,6,1,.333,3,.444,9,2,1.000,2,@,L,7.7,1,34,DEN,1,0,Jodie Meeks,G,11,0,ORL,3,4
7128,25-185,3,0,2017-02-13,2,4,4,.571,7,0,,0,.571,7,3,1.000,3,,W,6.4,0,18,DET,0,5,Khris Middleton,F-G,11,0,MIL,2,2
7129,29-238,1,2,2016-12-12,2,4,1,.500,2,3,.333,9,.364,11,0,,0,,W,6.4,0,19,CHO,0,3,C.J. Miles,G-F,11,0,IND,0,2
7130,29-246,0,0,2016-12-20,6,2,0,.000,3,2,.400,5,.250,8,5,.833,6,@,L,7.1,0,26,NYK,1,3,C.J. Miles,G-F,11,2,IND,2,7
7131,31-289,0,2,2016-11-25,4,4,3,.333,9,1,.500,2,.364,11,2,1.000,2,@,L,7.0,1,28,UTA,1,3,Paul Millsap,F,11,1,ATL,1,5
7132,28-075,5,0,2016-10-25,1,4,1,.250,4,3,.600,5,.444,9,0,,0,@,W,13.7,0,18,GSW,0,1,Patty Mills,G,11,4,SAS,0,1
7133,28-099,3,0,2016-11-18,0,5,4,1.000,4,1,.200,5,.556,9,0,,0,@,W,5.6,0,20,LAL,0,3,Patty Mills,G,11,0,SAS,2,0
7134,28-129,7,0,2016-12-18,3,3,1,.333,3,2,.500,4,.429,7,3,1.000,3,,W,12.1,0,20,NOP,0,0,Patty Mills,G,11,1,SAS,2,3
