,age,ast,blk,date_game,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,player,pos,pts,stl,team_id,tov,trb
375,25-141,4,1,2016-12-03,1,12,6,.545,11,6,.500,12,.522,23,1,.333,3,,W,23.6,0,34,LAL,1,2,Troy Daniels,G,31,1,MEM,0,2
376,23-259,2,5,2016-11-25,13,10,8,.615,13,2,.500,4,.588,17,9,.692,13,@,L,28.9,1,43,POR,0,1,Anthony Davis,F-C,31,0,NOP,1,13
377,23-284,2,2,2016-12-20,11,12,12,.414,29,0,.000,1,.400,30,7,.700,10,@,W,21.4,1,35,PHI,5,2,Anthony Davis,F-C,31,0,NOP,1,16
379,23-327,2,4,2017-02-01,10,13,13,.565,23,0,.000,1,.542,24,5,.833,6,@,L,23.4,1,41,DET,2,3,Anthony Davis,F-C,31,2,NOP,5,12
380,27-120,5,0,2016-12-05,4,12,12,.571,21,0,.000,2,.522,23,7,1.000,7,,L,25.2,1,39,CLE,0,3,DeMar DeRozan,G,31,3,TOR,1,4
381,27-129,3,0,2016-12-14,3,11,11,.647,17,0,.000,1,.611,18,9,.818,11,@,W,24.0,1,30,PHI,2,1,DeMar DeRozan,G,31,0,TOR,2,5
382,27-133,4,0,2016-12-18,5,13,12,.667,18,1,.333,3,.619,21,4,1.000,4,@,W,23.0,1,30,ORL,0,2,DeMar DeRozan,G,31,1,TOR,3,5
383,27-147,3,1,2017-01-01,1,10,10,.400,25,0,,0,.400,25,11,.846,13,@,W,18.6,1,35,LAL,0,3,DeMar DeRozan,G,31,1,TOR,1,1
384,27-183,2,0,2017-02-06,3,11,9,.474,19,2,.667,3,.500,22,7,.778,9,,W,23.5,1,38,LAC,2,1,DeMar DeRozan,G,31,1,TOR,0,5
385,30-226,7,0,2016-12-18,4,12,7,.467,15,5,.833,6,.571,21,2,.500,4,,L,19.8,1,37,BOS,0,4,Goran Dragic,G,31,0,MIA,5,4
386,32-005,8,1,2017-02-03,4,14,14,.700,20,0,.000,4,.583,24,3,1.000,3,@,L,26.7,1,42,OKC,0,4,Marc Gasol,C,31,2,MEM,1,4
387,26-266,3,0,2017-01-23,6,11,8,.571,14,3,.300,10,.458,24,6,.857,7,,L,20.6,1,39,NYK,1,3,Paul George,F,31,2,IND,3,7
388,26-284,2,1,2017-02-10,3,12,10,.588,17,2,.333,6,.522,23,5,.714,7,@,L,20.8,1,36,WAS,1,2,Paul George,F,31,0,IND,1,4
389,28-008,3,1,2017-01-02,2,11,5,.833,6,6,.500,12,.611,18,3,.750,4,,W,21.2,0,36,WAS,0,4,Eric Gordon,G,31,0,HOU,3,2
390,27-323,2,1,2017-02-02,3,10,10,.526,19,0,,0,.526,19,11,.846,13,,L,26.6,1,30,GSW,5,2,Blake Griffin,F,31,3,LAC,3,8
391,27-085,10,2,2016-11-19,4,10,6,.429,14,4,.400,10,.417,24,7,.778,9,,W,25.8,1,35,UTA,0,3,James Harden,G,31,0,HOU,0,4
